3
48,50
-0.691866,1.14619,-0.0357491
-0.649637,1.42722,0.516957
-1.14609,1.16088,0.514006
-1.29352,1.1689,0.161161
-0.815661,0.879058,0.399413
-1.28433,0.740252,0.359092
-1.59238,1.37897,0.644075
-1.29191,1.57908,0.840439
-0.97901,1.01519,0.584694
-0.923119,0.935063,0.79095
-0.779181,0.853454,0.0918139
-1.06492,1.19209,0.983819
-1.23268,1.62597,0.205518
-1.39642,0.97854,0.71354
-1.24926,0.808966,0.931722
-0.863857,1.17072,1.0111
-1.51877,1.22442,0.729188
-0.888703,1.5786,0.647388
-1.06227,1.24568,1.0017
-1.49158,0.968647,0.275887
-0.71464,0.835553,0.468464
-1.63683,1.41672,0.999674
-0.66702,0.83013,0.964766
-1.47551,1.0798,0.28243
-0.775975,1.47662,0.43052
-0.85826,1.25885,0.940366
-0.861169,1.38617,0.503914
-1.14599,1.14355,0.421639
-1.51261,0.727369,1.00644
-1.52491,0.881872,0.314212
-1.26303,0.81332,0.488889
-0.808575,0.822575,0.244738
-0.822907,0.801642,0.413991
-0.872147,0.97222,0.832914
-1.60372,0.842332,0.64866
-1.18721,1.63016,0.246637
-1.26085,1.41508,0.971929
-0.770943,0.915178,0.454605
-1.36331,1.04866,0.521098
-1.37087,1.16983,0.742094
-1.07067,1.55289,0.894537
-1.59579,1.3904,0.0562359
-1.36505,1.21358,0.197002
-0.965069,0.987522,0.508346
-1.14616,1.02989,0.689802
-1.51151,1.48876,0.659086
-1.27888,0.874,0.413288
-1.32095,0.749145,0.667589
-0.880356,1.03192,0.0553727
-1.37326,1.30714,0.564331
-1.64518,0.882554,0.456343
-0.764646,0.932856,0.185869
-0.722416,1.21389,0.738574
-1.09081,1.01805,0.460457
-1.23824,1.02608,0.107612
-0.760386,0.736235,0.345863
-1.22906,0.597429,0.305542
-1.53711,1.23614,0.590525
-1.23664,1.43625,0.786889
-0.923736,0.872365,0.531144
-0.867844,0.79224,0.737401
-0.723907,0.710631,0.0382643
-1.00964,1.04926,0.930269
-1.17741,1.48315,0.151968
-1.34114,0.835717,0.65999
-1.19399,0.666143,0.878172
-0.808582,1.0279,0.957548
-1.4635,1.0816,0.675638
-0.833429,1.43578,0.593838
-1.007,1.10286,0.94815
-1.43631,0.825824,0.222337
-0.659365,0.69273,0.414914
-1.58156,1.2739,0.946125
-0.611745,0.687307,0.911217
-1.42023,0.936976,0.22888
-0.720701,1.3338,0.376971
-0.802985,1.11603,0.886816
-0.805894,1.24335,0.450365
